"Unit ID","Create Date","Resolve Date","Client Global Sales Region","Inquiry Rep Desc","Inquiry Rep Team Desc","Inquiry Status","Inquiry Action",Product
1274640599,11/7/2023,11/10/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1274644058,11/7/2023,11/15/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1274655246,11/7/2023,11/8/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1274659989,11/7/2023,11/13/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1274665557,11/7/2023,11/8/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1274649384,11/7/2023,11/8/2023,EMEA,"SHERLOCK HOLMES","E TRADING",R,Handled,FMSX
1274649459,11/7/2023,11/17/2023,EMEA,"SHERLOCK HOLMES","E TRADING",R,Handled,FMSX
1274689765,11/7/2023,11/7/2023,EMEA,"INDIANA JONES",SELLSIDE,R,Handled,UOMS
1274731846,11/8/2023,11/13/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,BIM
1274737366,11/8/2023,11/30/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1274737455,11/8/2023,11/10/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1274730203,11/8/2023,11/8/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1274749011,11/8/2023,11/8/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1274758618,11/8/2023,11/12/2023,EMEA,"ELIZABETH BENNET","E TRADING",R,Handled,Hybrid
1274843162,11/9/2023,11/27/2023,EMEA,"SHERLOCK HOLMES","E TRADING",R,Handled,Hybrid
1274987483,11/13/2023,11/16/2023,EMEA,"Mary Richards",BUYSIDE,R,Handled,BIM
1274980777,11/13/2023,11/15/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,FMSX
1274964339,11/13/2023,11/28/2023,EMEA,"SHERLOCK HOLMES","E TRADING",R,Handled,Chat
1274952087,11/13/2023,1/9/2024,EMEA,"HAN SOLO",SELLSIDE,R,Handled,UOMS
1275046227,11/14/2023,11/14/2023,EMEA,"Sheldon Cooper",BUYSIDE,R,Handled,BIM
1275070464,11/14/2023,11/20/2023,EMEA,"ELIZABETH BENNET","E TRADING",R,Handled,FX
1275042037,11/14/2023,11/14/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275054258,11/14/2023,11/14/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275062645,11/14/2023,11/14/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275064286,11/14/2023,11/14/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275073897,11/14/2023,11/14/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275056906,11/14/2023,11/14/2023,EMEA,"daryl Dixon","E TRADING",R,Handled,CVault
1275114322,11/15/2023,11/17/2023,EMEA,"ARYA STARK","E TRADING",R,Handled,FI
1275114524,11/15/2023,11/17/2023,EMEA,"ELIZABETH BENNET","E TRADING",R,Handled,FI
1275114112,11/15/2023,11/15/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275133410,11/15/2023,11/15/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275212168,11/16/2023,11/16/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,Reporting
1275216870,11/16/2023,11/23/2023,EMEA,"DAMON JAMES","E TRADING",R,Handled,FMSX
1275186761,11/16/2023,11/16/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275200778,11/16/2023,11/16/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275208277,11/16/2023,11/17/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275234151,11/16/2023,11/17/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275263161,11/17/2023,11/17/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275291515,11/17/2023,11/29/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,CTCA
1275293231,11/17/2023,11/17/2023,EMEA,"ARYA STARK","E TRADING",R,Handled,FI
1275346784,11/20/2023,12/13/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,Operational
1275348282,11/20/2023,1/2/2024,EMEA,"DAENERYS TARGERYEN",BUYSIDE,R,Handled,Operational
1275348703,11/20/2023,11/20/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275431649,11/21/2023,11/21/2023,EMEA,"Sheldon Cooper",BUYSIDE,R,Handled,BIM
1275423536,11/21/2023,11/22/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275493721,11/22/2023,11/22/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275511485,11/22/2023,11/22/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275518013,11/22/2023,11/23/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275494266,11/22/2023,11/27/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275566102,11/23/2023,11/23/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275583385,11/23/2023,11/24/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275603203,11/24/2023,11/27/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,BIM
1275607260,11/24/2023,11/27/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275608775,11/24/2023,11/24/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,FMSX
1275667339,11/27/2023,11/27/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
