Unit ID,Create Date,Resolve Date,Client Global Sales Region,Inquiry Rep Desc,Inquiry Rep Team Desc,Inquiry Status,Inquiry Action,Product
1257368402 1257368403,1/4/2023,1/4/2023,AMER,JACK SPARROW,BUYSIDE,Closed,Handled,BIM
1257359124 1257359125,1/4/2023,1/26/2023,APAC,Sheldon Cooper,BUYSIDE,Closed,Handled,BIM
1257359124 1257359125,1/4/2023,1/26/2023,APAC,Sheldon Cooper,BUYSIDE,Closed,In Progress,BIM
1257349295 1257349296,1/4/2023,1/4/2023,APAC,DAENERYS TARGERYEN,BUYSIDE,Closed,Handled,BIM
1257336326 1257342401,1/4/2023,1/4/2023,APAC,OBI-WAN KENOBI,BUYSIDE,Closed,Handled,BIM
1257336326 1257342401,1/4/2023,1/4/2023,APAC,OBI-WAN KENOBI,BUYSIDE,Closed,Handled,BIM
1257359882 1257359883,1/4/2023,1/4/2023,EMEA,OBI-WAN KENOBI,BUYSIDE,Closed,Whisper Confirm,BIM
1257359882 1257359883,1/4/2023,1/5/2023,EMEA,OBI-WAN KENOBI,BUYSIDE,Closed,In Progress,BIM
1257348950 1257348951,1/4/2023,1/4/2023,EMEA,CHARLIE BROWN,E TRADING,Closed,Whisper Confirm,SHUB
1257348950 1257348951,1/4/2023,1/10/2023,EMEA,LANDO CALRISSIAN,E TRADING,Closed,In Progress,SHUB
1257348478 1257348479,1/4/2023,1/4/2023,EMEA,Tina Belcher,E TRADING,Closed,Handled,FMSX
1257348950 1257348951,1/4/2023,1/4/2023,EMEA,SpongeBob SquarePants,E TRADING,Closed,Whisper Confirm,SHUB
1257348950 1257348951,1/4/2023,1/10/2023,EMEA,SpongeBob SquarePants,E TRADING,Closed,Handled,SHUB
1257348950 1257348951,1/4/2023,1/10/2023,EMEA,SpongeBob SquarePants,E TRADING,Closed,In Progress,SHUB
1257361884,1/4/2023,1/17/2023,EMEA,SHERLOCK HOLMES,E TRADING,R,Handled,Hybrid
1257352893,1/4/2023,1/4/2023,EMEA,RAF BROWN,E TRADING,R,Handled,FMSX
1257374203,1/4/2023,1/5/2023,EMEA,RAF BROWN,E TRADING,R,Handled,FMSX
1257349295 1257349296,1/4/2023,1/4/2023,APAC,DARTH VADER,SELLSIDE,Closed,Direct Transfer,BIM
1257370541 1257370542,1/4/2023,1/4/2023,AMER,HAN SOLO,SELLSIDE,Closed,Direct Transfer,UOMS
1257370541 1257370542,1/4/2023,1/4/2023,AMER,HAN SOLO,SELLSIDE,Closed,Whisper Confirm,UOMS
1257351134,1/4/2023,1/4/2023,EMEA,Olivia Pope,SELLSIDE,R,Handled,FUOMS
1257368174,1/4/2023,1/16/2023,EMEA,****** DELETE,SELLSIDE,R,Handled,Reporting
1257372673,1/4/2023,1/4/2023,EMEA,HARRY POTTER,SELLSIDE,R,Handled,UOMS
1257351138,1/4/2023,1/4/2023,EMEA,Olivia Pope,SELLSIDE,R,Handled,UOMS
1257361860,1/4/2023,1/4/2023,EMEA,Olivia Pope,SELLSIDE,R,Handled,FUOMS
1257378499,1/4/2023,1/5/2023,EMEA,HAN SOLO,SELLSIDE,R,Handled,UOMS
1257443570,1/5/2023,1/5/2023,AMER,Michael Scott,ETSVC_AMER_E TRADING & REGULATORY,R,Handled,SHUB
1257432789 1257433212,1/5/2023,1/5/2023,APAC,JACK SPARROW,BUYSIDE,Closed,Handled,UOMS
1257432789 1257433212,1/5/2023,1/5/2023,APAC,JACK SPARROW,BUYSIDE,Closed,Whisper Confirm,UOMS
1257448366 1257448367,1/5/2023,3/13/2023,EMEA,JACK SPARROW,BUYSIDE,Closed,Handled,BIM
1257448366 1257448367,1/5/2023,3/13/2023,EMEA,JACK SPARROW,BUYSIDE,Closed,In Progress,BIM
1257448366 1257448367,1/5/2023,3/13/2023,EMEA,JACK SPARROW,BUYSIDE,Closed,Handled,BIM
1257448366 1257448367,1/5/2023,3/13/2023,EMEA,JACK SPARROW,BUYSIDE,Closed,In Progress,BIM
1257432789 1257433212,1/5/2023,1/5/2023,APAC,Sheldon Cooper,BUYSIDE,Closed,Direct Transfer,UOMS
1257435328 1257435329,1/5/2023,1/5/2023,APAC,Sheldon Cooper,BUYSIDE,Closed,Handled,BIM
